iteration,image,frozen,U,field_term,pv,H,px,py,pz,Px,Py,Pz
2,26,0,-3.1364509135043534e+05,-2.1474816254593776e+00,0.0000000000000000e+00,-3.1364723883206077e+05,-6.4619705474745942e+01,-3.0699504779712061e+01,-8.5431336074860820e-01,-1.4280849482871075e-02,-6.7845404700751268e-03,-1.8880185891321689e-04
2,27,0,-3.1364495768311888e+05,-2.2207053112120692e+00,0.0000000000000000e+00,-3.1364717838843010e+05,-6.6823073806757677e+01,-3.3707580618528773e+01,-8.2347357421490930e-01,-1.4774265857102606e-02,-7.4525867950645062e-03,-1.8206611606841764e-04
2,28,0,-3.1364482487640664e+05,-2.2995585082467076e+00,0.0000000000000000e+00,-3.1364712443491491e+05,-6.9195839332530426e+01,-3.6775747027466132e+01,-8.1863579298916189e-01,-1.5303963005415396e-02,-8.1336490377719260e-03,-1.8105672265362894e-04
2,29,0,-3.1364471485232766e+05,-2.3881090624731338e+00,0.0000000000000000e+00,-3.1364710296139010e+05,-7.1860407292460295e+01,-3.9851535180490998e+01,-8.2925118141737297e-01,-1.5896433853322591e-02,-8.8156652156423394e-03,-1.8344088281522960e-04
2,30,0,-3.1364465219433059e+05,-2.4801892301160917e+00,0.0000000000000000e+00,-3.1364713238356070e+05,-7.4631184579963445e+01,-4.2921892032587735e+01,-8.5075272306830962e-01,-1.6511586420045070e-02,-9.4961447228346200e-03,-1.8822262018339180e-04
2,31,0,-3.1364463695624116e+05,-2.5798726454150143e+00,0.0000000000000000e+00,-3.1364721682888659e+05,-7.7630750611619348e+01,-4.5966928468248533e+01,-9.1541794870173510e-01,-1.7174366579595039e-02,-1.0169332047313250e-02,-2.0251927619763840e-04
2,32,0,-3.1364467380981636e+05,-2.6804461310883823e+00,0.0000000000000000e+00,-3.1364735425594746e+05,-8.0657099682890859e+01,-4.9107845218551184e+01,-9.8771210618129146e-01,-1.7841127208453537e-02,-1.0862519442452340e-02,-2.1847918411388128e-04
2,33,0,-3.1364474900561821e+05,-2.7789613693640458e+00,0.0000000000000000e+00,-3.1364752796698757e+05,-8.3621514189015443e+01,-5.2262725112019524e+01,-1.0664642712782046e+00,-1.8491867708356313e-02,-1.1557257820818172e-02,-2.3583543555057661e-04
2,34,0,-3.1364485119902325e+05,-2.8669384230227850e+00,0.0000000000000000e+00,-3.1364771813744627e+05,-8.6268824987191678e+01,-5.5675370340892279e+01,-1.1614519093013476e+00,-1.9067706285914535e-02,-1.2305738593023230e-02,-2.5671178290721808e-04
2,35,0,-3.1364496262494544e+05,-2.9484330677187609e+00,0.0000000000000000e+00,-3.1364791105801315e+05,-8.8721074112674415e+01,-5.9161798206537050e+01,-1.1782085943054841e+00,-1.9597916497622280e-02,-1.3068461948830910e-02,-2.6025872521172707e-04
2,36,0,-3.1364507672939252e+05,-3.0067761830827169e+00,0.0000000000000000e+00,-3.1364808350557560e+05,-9.0476672338336300e+01,-6.2733271680187961e+01,-6.4493597385517198e-01,-1.9968498461433865e-02,-1.3845438903213984e-02,-1.4233948562444626e-04
2,37,0,-3.1364517444473808e+05,-3.0561747570048809e+00,0.0000000000000000e+00,-3.1364823061949509e+05,-9.1963121051041753e+01,-6.6271255739217963e+01,8.6763674437363159e-01,-2.0276760154991174e-02,-1.4612013407509105e-02,1.9130344823287427e-04
2,38,0,-3.1364524120887415e+05,-3.0869710359373550e+00,0.0000000000000000e+00,-3.1364832817991008e+05,-9.2889809526855316e+01,-6.9244829801451331e+01,3.4093852469514472e+00,-2.0461087894623285e-02,-1.5252744687845531e-02,7.5099444772074042e-04
2,39,0,-3.1364528606880951e+05,-3.1048876793955573e+00,0.0000000000000000e+00,-3.1364839095648890e+05,-9.3428937875912737e+01,-7.1400546873731940e+01,7.0887668638777921e+00,-2.0563839351247917e-02,-1.5715359811247626e-02,1.5602474597414266e-03
2,40,0,-3.1364532015957538e+05,-3.1167291945934519e+00,0.0000000000000000e+00,-3.1364843688876997e+05,-9.3785260004768674e+01,-7.3122043745099859e+01,1.1191262359243250e+01,-2.0629126557147024e-02,-1.6084018900818814e-02,2.4616444794344659e-03
2,41,0,-3.1364536102195462e+05,-3.1131752323106969e+00,0.0000000000000000e+00,-3.1364847419718694e+05,-9.3678317997322694e+01,-7.3545464602517825e+01,1.6416889116135028e+01,-2.0605064389006951e-02,-1.6176731884720873e-02,3.6109855998355711e-03
2,42,0,-3.1364541356192192e+05,-3.1065369896844022e+00,0.0000000000000000e+00,-3.1364852009891160e+05,-9.3478567145769162e+01,-7.3777181921549953e+01,2.1743392532404179e+01,-2.0562725005935908e-02,-1.6228959748602650e-02,4.7829509479187975e-03
2,43,0,-3.1364547792722948e+05,-3.0955082075373559e+00,0.0000000000000000e+00,-3.1364857343543699e+05,-9.3146700905034820e+01,-7.3718228280060202e+01,2.7108620760255636e+01,-2.0494421341779062e-02,-1.6219709514793380e-02,5.9645214533319852e-03
2,44,0,-3.1364555245373602e+05,-3.0804318686104510e+00,0.0000000000000000e+00,-3.1364863288560463e+05,-9.2693039942564127e+01,-7.3433370968767179e+01,3.2461544654666639e+01,-2.0401368228117573e-02,-1.6162391936806464e-02,7.1446564506212696e-03
2,45,0,-3.1364563118955318e+05,-3.0633590888513385e+00,0.0000000000000000e+00,-3.1364869454864203e+05,-9.2179304231585434e+01,-7.3040910105209633e+01,3.7790767315961077e+01,-2.0296005437135726e-02,-1.6082120829468312e-02,8.3207573035191384e-03
2,46,0,-3.1364571486058197e+05,-3.0369986981289809e+00,0.0000000000000000e+00,-3.1364875185928011e+05,-9.1386095728898667e+01,-7.2161224489387251e+01,4.2941412954217981e+01,-2.0133127057195638e-02,-1.5897725903047066e-02,9.4603551681154228e-03
2,47,0,-3.1364579907835752e+05,-2.9980384964556945e+00,0.0000000000000000e+00,-3.1364879711685400e+05,-9.0213747277802639e+01,-7.1167205730358887e+01,4.7996408493764875e+01,-1.9887812281943435e-02,-1.5688961725948393e-02,1.0580910239678510e-02
2,48,0,-3.1364586698637635e+05,-2.9512436302970526e+00,0.0000000000000000e+00,-3.1364881823000667e+05,-8.8805646536426224e+01,-6.9987040779456208e+01,5.2565796031552239e+01,-1.9591657412113671e-02,-1.5440033147850715e-02,1.1596684530896269e-02
2,49,0,-3.1364604719803389e+05,-2.6934518869841528e+00,0.0000000000000000e+00,-3.1364874064992089e+05,-8.1048454889611818e+01,-7.0458383210592913e+01,5.6153403929933248e+01,-1.7886848326261990e-02,-1.5549690805556033e-02,1.2392678188202911e-02
2,50,0,-3.1364611001634866e+05,-2.4089176714334437e+00,0.0000000000000000e+00,-3.1364851893402007e+05,-7.2486557554429012e+01,-7.1498533679737022e+01,5.8390367050550836e+01,-1.5999158888265405e-02,-1.5781083268593066e-02,1.2887862129256536e-02
3,0,0,-3.1364615200129757e+05,2.4296512282942339e-02,0.0000000000000000e+00,-3.1364612770478526e+05,7.3110449429406776e-01,-3.1186191008930653e-01,1.9536548752085992e-06,1.6134709725811448e-04,-6.8824654110307765e-05,4.3115114955412066e-10
